run,final result,time,result,states
"('i_21_26_18_2_26_MT', 'U1D', 'MCTS', True)",0.0,39.414,"((0.0, 0.013), (0.0, 0.343), (0.0, 0.709), (0.0, 0.986), (0.0, 1.263), (0.0, 1.538), (0.0, 1.813), (0.0, 2.087), (0.0, 2.361), (0.0, 2.636), (0.0, 2.911), (0.0, 3.184), (0.0, 3.463), (0.0, 3.738), (0.0, 4.012), (0.0, 4.287), (0.0, 4.563), (0.0, 4.839), (0.0, 5.119), (0.0, 5.39), (0.0, 5.665), (0.0, 5.94), (0.0, 6.216), (0.0, 6.491), (0.0, 6.767), (0.0, 7.039), (0.0, 7.318), (0.0, 7.608), (0.0, 7.895), (0.0, 8.238), (0.0, 8.528), (0.0, 8.828), (0.0, 9.124), (0.0, 9.412), (0.0, 9.721), (0.0, 10.017), (0.0, 10.386), (0.0, 10.853), (0.0, 11.257), (0.0, 11.676), (0.0, 12.131), (0.0, 12.508), (0.0, 12.951), (0.0, 13.365), (0.0, 13.842), (0.0, 14.247), (0.0, 14.661), (0.0, 15.114), (0.0, 15.772), (0.0, 16.343), (0.0, 17.004), (0.0, 17.552), (0.0, 18.119), (0.0, 18.779), (0.0, 19.294), (0.0, 19.828), (0.0, 20.355), (0.0, 20.849), (0.0, 21.499), (0.0, 22.031), (0.0, 22.549), (0.0, 23.111), (0.0, 23.634), (0.0, 24.344), (0.0, 24.898), (0.0, 25.433), (0.0, 25.988), (0.0, 26.53), (0.0, 27.033), (0.0, 27.567), (0.0, 28.293), (0.0, 28.669), (0.0, 29.081), (0.0, 29.44), (0.0, 29.819), (0.0, 30.193), (0.0, 30.559), (0.0, 30.961), (0.0, 31.323), (0.0, 31.714), (0.0, 32.089), (0.0, 32.451), (0.0, 32.86), (0.0, 33.233), (0.0, 33.672), (0.0, 34.059), (0.0, 34.431), (0.0, 34.842), (0.0, 35.541), (0.0, 35.958), (0.0, 36.381), (0.0, 36.739), (0.0, 37.159), (0.0, 37.54), (0.0, 37.809), (0.0, 38.079), (0.0, 38.347), (0.0, 38.616), (0.0, 38.886), (0.0, 39.153), (0.0, 39.414))",5000
"('i_21_26_18_2_26_MT', 'U1S', 'MCTS', True)",0.0,-,"((0.0, 0.05), (0.0, 1.404), (0.0, 3.168), (0.0, 3.967), (0.0, 4.767), (0.0, 5.561), (0.0, 6.358), (0.0, 7.153), (0.0, 7.96), (0.0, 8.764), (0.0, 9.561), (0.0, 10.369), (0.0, 11.163), (0.0, 11.978), (0.0, 12.768), (0.0, 13.565), (0.0, 14.375), (0.0, 15.185), (0.0, 15.998), (0.0, 16.803), (0.0, 17.611), (0.0, 18.417), (0.0, 19.208), (0.0, 20.006), (0.0, 20.792), (0.0, 21.566), (0.0, 22.346), (0.0, 23.245), (0.0, 24.137), (0.0, 25.231), (0.0, 26.18), (0.0, 27.175), (0.0, 28.144), (0.0, 29.07), (0.0, 30.14), (0.0, 31.066), (0.0, 32.571), (0.0, 34.59), (0.0, 36.435), (0.0, 38.367), (0.0, 40.221), (0.0, 41.829), (0.0, 43.992), (0.0, 45.924), (0.0, 47.87), (0.0, 49.694), (0.0, 51.599), (0.0, 53.808), (0.0, 57.023))",2448
"('i_21_26_18_2_26_MT', 'U1S', 'BFS', True)",0.0,-,"((0.0, 186.212),)",0
"('i_21_26_18_2_26_MT', 'U1S', 'BNB', True)",0.0,-,"((0.0, 183.274),)",0
"('i_21_26_18_2_26_MT', 'U1S', 'BNBL', True)",0.0,-,"((0.0, 179.706),)",0
"('i_21_26_18_2_26_MT', 'U1D', 'MCTS', False)",0.0,26.934,"((0.0, 0.009), (0.0, 0.253), (0.0, 0.49), (0.0, 0.744), (0.0, 1.032), (0.0, 2.09), (0.0, 2.348), (0.0, 2.578), (0.0, 2.812), (0.0, 3.045), (0.0, 3.278), (0.0, 3.512), (0.0, 3.747), (0.0, 3.977), (0.0, 4.205), (0.0, 4.43), (0.0, 4.656), (0.0, 4.883), (0.0, 5.112), (0.0, 5.339), (0.0, 5.565), (0.0, 5.79), (0.0, 6.022), (0.0, 6.256), (0.0, 6.494), (0.0, 6.725), (0.0, 6.957), (0.0, 7.191), (0.0, 7.427), (0.0, 7.675), (0.0, 7.919), (0.0, 8.17), (0.0, 8.416), (0.0, 8.666), (0.0, 8.912), (0.0, 9.162), (0.0, 9.406), (0.0, 9.659), (0.0, 9.926), (0.0, 10.236), (0.0, 10.52), (0.0, 10.799), (0.0, 11.066), (0.0, 11.334), (0.0, 11.601), (0.0, 11.863), (0.0, 12.131), (0.0, 12.45), (0.0, 12.727), (0.0, 13.007), (0.0, 13.3), (0.0, 13.579), (0.0, 13.869), (0.0, 14.167), (0.0, 14.518), (0.0, 14.795), (0.0, 15.071), (0.0, 15.348), (0.0, 15.63), (0.0, 15.909), (0.0, 16.19), (0.0, 16.475), (0.0, 16.765), (0.0, 17.056), (0.0, 17.357), (0.0, 17.718), (0.0, 18.014), (0.0, 18.299), (0.0, 18.576), (0.0, 18.861), (0.0, 19.137), (0.0, 19.427), (0.0, 19.698), (0.0, 19.95), (0.0, 20.205), (0.0, 20.458), (0.0, 20.726), (0.0, 20.985), (0.0, 21.248), (0.0, 21.602), (0.0, 21.865), (0.0, 22.129), (0.0, 22.404), (0.0, 22.662), (0.0, 22.934), (0.0, 23.205), (0.0, 23.471), (0.0, 23.733), (0.0, 24.001), (0.0, 24.254), (0.0, 24.504), (0.0, 24.754), (0.0, 24.998), (0.0, 25.244), (0.0, 25.5), (0.0, 25.74), (0.0, 25.977), (0.0, 26.224), (0.0, 26.463), (0.0, 26.697), (0.0, 26.934))",5000
"('i_21_26_18_2_26_MT', 'U1S', 'MCTS', False)",0.0,-,"((0.0, 0.031), (0.0, 1.023), (0.0, 1.914), (0.0, 3.017), (0.0, 4.482), (0.0, 6.015), (0.0, 7.149), (0.0, 7.99), (0.0, 8.817), (0.0, 9.639), (0.0, 10.459), (0.0, 11.282), (0.0, 12.113), (0.0, 12.937), (0.0, 13.769), (0.0, 14.597), (0.0, 15.426), (0.0, 16.262), (0.0, 17.11), (0.0, 17.951), (0.0, 18.81), (0.0, 19.655), (0.0, 20.541), (0.0, 21.416), (0.0, 22.297), (0.0, 23.188), (0.0, 24.08), (0.0, 24.979), (0.0, 25.883), (0.0, 26.921), (0.0, 27.922), (0.0, 28.99), (0.0, 29.976), (0.0, 30.993), (0.0, 32.0), (0.0, 33.051), (0.0, 34.053), (0.0, 35.1), (0.0, 36.262), (0.0, 37.474), (0.0, 38.739), (0.0, 39.921), (0.0, 41.039), (0.0, 42.165), (0.0, 43.358), (0.0, 44.481), (0.0, 45.667), (0.0, 46.908), (0.0, 48.173), (0.0, 49.429), (0.0, 50.82), (0.0, 52.132), (0.0, 53.508), (0.0, 54.9), (0.0, 56.275), (0.0, 57.464), (0.0, 58.593), (0.0, 59.769))",2861
"('i_21_26_18_2_26_MT', 'U1S', 'BFS', False)",0.0,-,"((0.0, 177.276),)",0
"('i_21_26_18_2_26_MT', 'U1S', 'BNB', False)",0.0,-,"((0.0, 181.802),)",0
"('i_21_26_18_2_26_MT', 'U1S', 'BNBL', False)",0.0,-,"((0.0, 176.771),)",0
