run,final result,time,result,states
"('i_9_7_11_3_11_FR', 'U1D', 'MCTS', True)",5.81,30.872,"((1.08, 0.019), (2.3, 0.243), (3.45, 0.497), (3.45, 0.741), (3.45, 0.98), (3.45, 2.529), (3.45, 4.701), (3.45, 6.608), (3.45, 8.207), (3.45, 9.104), (3.45, 9.932), (3.45, 10.464), (3.45, 10.795), (3.45, 11.109), (3.45, 11.394), (3.45, 11.658), (3.45, 11.879), (3.45, 12.108), (3.45, 12.386), (3.45, 12.608), (3.45, 12.838), (3.45, 13.062), (3.45, 13.315), (3.45, 13.536), (3.45, 13.759), (3.45, 13.978), (3.45, 14.19), (3.45, 14.401), (3.45, 14.619), (3.45, 14.83), (3.45, 15.049), (3.45, 15.259), (3.45, 15.483), (3.45, 15.694), (3.45, 15.91), (3.45, 16.128), (3.45, 16.346), (3.45, 16.567), (3.45, 16.779), (3.45, 17.229), (3.45, 17.452), (3.45, 17.67), (3.45, 17.889), (3.45, 18.106), (3.45, 18.321), (3.45, 18.544), (3.45, 18.76), (3.45, 18.975), (3.45, 19.203), (3.45, 19.42), (3.45, 19.64), (3.45, 19.856), (3.45, 20.085), (3.45, 20.305), (3.45, 20.532), (3.45, 20.755), (3.45, 20.97), (3.45, 21.192), (3.45, 21.415), (3.45, 21.631), (3.45, 21.858), (3.45, 22.074), (3.45, 22.29), (3.45, 22.514), (3.45, 22.73), (3.45, 22.954), (3.45, 23.173), (3.45, 23.401), (3.45, 23.625), (3.45, 23.846), (3.45, 24.07), (3.45, 24.299), (3.45, 24.526), (3.45, 24.748), (3.45, 24.973), (3.45, 25.2), (3.45, 25.426), (3.45, 25.649), (3.45, 25.876), (3.45, 26.106), (3.45, 26.329), (3.45, 26.558), (3.45, 26.781), (3.45, 27.013), (3.45, 27.236), (3.45, 27.455), (5.81, 27.685), (5.81, 27.914), (5.81, 28.143), (5.81, 28.37), (5.81, 28.597), (5.81, 28.827), (5.81, 29.054), (5.81, 29.287), (5.81, 29.513), (5.81, 29.739), (5.81, 29.967), (5.81, 30.196), (5.81, 30.423), (5.81, 30.644), (5.81, 30.872))",5000
"('i_9_7_11_3_11_FR', 'U1S', 'MCTS', True)",2.23,-,"((1.08, 0.161), (1.08, 0.691), (2.3, 1.233), (2.3, 2.349), (2.23, 2.9), (2.23, 13.856), (2.23, 27.971), (2.23, 42.387), (2.23, 54.216))",436
"('i_9_7_11_3_11_FR', 'U1S', 'BFS', True)",8.69,-,"((8.69, 60.859),)",24792
"('i_9_7_11_3_11_FR', 'U1S', 'BNB', True)",5.81,-,"((5.81, 77.223),)",936
"('i_9_7_11_3_11_FR', 'U1S', 'BNBL', True)",8.69,-,"((8.69, 61.096),)",16728
"('i_9_7_11_3_11_FR', 'U1D', 'MCTS', False)",5.64,20.373,"((1.08, 0.005), (4.42, 0.199), (4.42, 0.334), (4.42, 0.453), (4.42, 0.565), (4.42, 0.676), (4.42, 0.788), (4.42, 0.9), (4.42, 1.012), (4.42, 1.124), (4.42, 1.237), (4.42, 1.35), (4.42, 1.462), (4.42, 1.578), (4.42, 1.692), (4.42, 1.806), (4.42, 1.918), (4.42, 2.034), (4.42, 2.153), (4.42, 2.278), (4.42, 2.512), (4.42, 2.638), (4.42, 2.807), (4.42, 2.98), (4.42, 3.172), (4.42, 3.374), (4.42, 3.63), (4.42, 3.868), (4.42, 4.187), (4.42, 4.51), (4.42, 4.894), (4.42, 5.234), (4.42, 5.592), (4.42, 6.039), (4.42, 6.414), (4.42, 6.877), (4.42, 7.248), (4.42, 7.654), (4.42, 8.168), (4.42, 8.585), (5.64, 8.986), (5.64, 9.476), (5.64, 9.867), (5.64, 10.242), (5.64, 10.629), (5.64, 10.969), (5.64, 11.461), (5.64, 11.788), (5.64, 12.119), (5.64, 12.391), (5.64, 12.694), (5.64, 12.952), (5.64, 13.245), (5.64, 13.518), (5.64, 13.773), (5.64, 14.204), (5.64, 14.423), (5.64, 14.636), (5.64, 14.854), (5.64, 15.049), (5.64, 15.223), (5.64, 15.429), (5.64, 15.64), (5.64, 15.829), (5.64, 15.963), (5.64, 16.117), (5.64, 16.284), (5.64, 16.479), (5.64, 16.637), (5.64, 16.77), (5.64, 16.914), (5.64, 17.062), (5.64, 17.208), (5.64, 17.351), (5.64, 17.507), (5.64, 17.636), (5.64, 17.758), (5.64, 17.879), (5.64, 17.993), (5.64, 18.104), (5.64, 18.22), (5.64, 18.35), (5.64, 18.462), (5.64, 18.573), (5.64, 18.686), (5.64, 18.795), (5.64, 18.898), (5.64, 19.012), (5.64, 19.115), (5.64, 19.219), (5.64, 19.323), (5.64, 19.431), (5.64, 19.541), (5.64, 19.657), (5.64, 19.761), (5.64, 19.863), (5.64, 19.965), (5.64, 20.068), (5.64, 20.17), (5.64, 20.273), (5.64, 20.373))",5000
"('i_9_7_11_3_11_FR', 'U1S', 'MCTS', False)",8.69,-,"((1.08, 0.042), (2.23, 2.081), (2.23, 2.853), (3.2, 3.449), (6.78, 4.034), (6.78, 4.618), (6.78, 5.198), (6.78, 5.774), (6.78, 6.345), (6.78, 6.915), (6.78, 7.48), (6.78, 8.026), (6.78, 8.59), (6.78, 9.158), (6.78, 9.732), (6.78, 10.29), (6.78, 10.945), (6.33, 11.575), (6.33, 12.256), (6.33, 12.975), (6.33, 13.706), (6.33, 14.646), (6.33, 15.988), (6.33, 17.491), (6.33, 18.929), (6.33, 20.714), (6.33, 22.678), (6.33, 25.761), (8.69, 28.781), (8.69, 31.902), (8.69, 35.05), (8.69, 37.928), (8.69, 40.853), (8.69, 43.8), (8.69, 47.093), (8.69, 50.492), (8.69, 54.059), (8.69, 57.663))",1881
"('i_9_7_11_3_11_FR', 'U1S', 'BFS', False)",12.87,-,"((12.87, 60.098),)",15969
"('i_9_7_11_3_11_FR', 'U1S', 'BNB', False)",9.66,-,"((9.66, 65.228),)",698
"('i_9_7_11_3_11_FR', 'U1S', 'BNBL', False)",12.87,-,"((12.87, 60.036),)",11073
